line_id,from_bus,to_bus,from_facility_code,to_facility_code,voltage_kv,length_km,asset_type,status,number_of_original_segments,topology_confidence_score,parallel_group_id,r_ohm_per_km,r_value_status,r_source_id,r_source_confidence,r_scenario_id,r_assumption_note,x_ohm_per_km,x_value_status,x_source_id,x_source_confidence,x_scenario_id,x_assumption_note,c_nf_per_km,b_siemens_per_km,c_b_value_status,c_b_source_id,c_b_source_confidence,c_b_scenario_id,c_b_assumption_note,max_i_ka,max_i_value_status,max_i_source_id,max_i_source_confidence,max_i_scenario_id,max_i_assumption_note,thermal_limit_mva,thermal_limit_value_status,thermal_limit_source_id,thermal_limit_source_confidence,thermal_limit_scenario_id,thermal_limit_assumption_note,self_loop,solver_ready,notes
ATPL_00012,1106S5902900_60,1106P5906500_60,1106S5902900,1106P5906500,60.0,5.034394,cable,em exploração,14,0.8754,PG_1106P5906500_1106S5902900_60kv_em_explora_o,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese B/capacitance LUT selected.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Scenario band available only for E-REDES 36/60 kV cables.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Derived only inside scenario from selected cable current band.,False,False,"Cable current/thermal bands exist from E-REDES 36/60 kV scenarios, but branch cable section and installation condition are unknown. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values."
ATPL_00013,1106P5470000_60,1106S5242000_60,1106P5470000,1106S5242000,60.0,5.095219,cable,em exploração,17,0.882,PG_1106P5470000_1106S5242000_60kv_em_explora_o,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese B/capacitance LUT selected.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Scenario band available only for E-REDES 36/60 kV cables.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Derived only inside scenario from selected cable current band.,False,False,"Cable current/thermal bands exist from E-REDES 36/60 kV scenarios, but branch cable section and installation condition are unknown. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values."
ATPL_00014,1512S5030700_60,1508S5903500_60,1512S5030700,1508S5903500,60.0,9.311899,mixed,em exploração,7,0.8613,PG_1508S5903500_1512S5030700_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00015,1504S5020200_60,1508S5903500_60,1504S5020200,1508S5903500,60.0,7.005486,overhead,em exploração,8,0.8328,PG_1504S5020200_1508S5903500_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00016,0805S5060100_60,0805S5063500_60,0805S5060100,0805S5063500,60.0,3.949314,mixed,em exploração,6,0.9411,PG_0805S5060100_0805S5063500_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00017,0603S5022800_60,0603S5005100_60,0603S5022800,0603S5005100,60.0,6.845647,mixed,em exploração,7,0.8706,PG_0603S5005100_0603S5022800_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00018,1108S5729600_60,1014S5001200_60,1108S5729600,1014S5001200,60.0,9.75585,overhead,em exploração,4,0.8639,PG_1014S5001200_1108S5729600_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00019,1014S5001200_60,1006S5005000_60,1014S5001200,1006S5005000,60.0,24.921261,overhead,em exploração,9,0.8624,PG_1006S5005000_1014S5001200_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00020,1504S5020700_60,1504S5020200_60,1504S5020700,1504S5020200,60.0,4.090347,overhead,em exploração,4,0.8239,PG_1504S5020200_1504S5020700_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00021,1012S5000500_60,1006S5005000_60,1012S5000500,1006S5005000,60.0,12.213689,overhead,em exploração,6,0.7058,PG_1006S5005000_1012S5000500_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00022,1012S5000500_60,1014S5001200_60,1012S5000500,1014S5001200,60.0,22.498342,mixed,em exploração,12,0.7186,PG_1012S5000500_1014S5001200_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00023,0102S5000700_60,0117S5023700_60,0102S5000700,0117S5023700,60.0,10.02409,mixed,em exploração,5,0.9434,PG_0102S5000700_0117S5023700_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00024,0102S5010600_60,0102S5000700_60,0102S5010600,0102S5000700,60.0,6.067711,mixed,em exploração,2,0.923,PG_0102S5000700_0102S5010600_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00025,0907S5007100_60,0907S5024600_60,0907S5007100,0907S5024600,60.0,8.039666,mixed,em exploração,2,0.8833,PG_0907S5007100_0907S5024600_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00026,0303S5000400_60,0303S5012700_60,0303S5000400,0303S5012700,60.0,2.330619,cable,em exploração,5,0.9142,PG_0303S5000400_0303S5012700_60kv_em_explora_o,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese B/capacitance LUT selected.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Scenario band available only for E-REDES 36/60 kV cables.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Derived only inside scenario from selected cable current band.,False,False,"Cable current/thermal bands exist from E-REDES 36/60 kV scenarios, but branch cable section and installation condition are unknown. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values."
ATPL_00027,0303S5000400_60,0303S5012700_60,0303S5000400,0303S5012700,60.0,2.322625,cable,em exploração,5,0.9146,PG_0303S5000400_0303S5012700_60kv_em_explora_o,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S1_cable_transformer_source_backed,Missing: no final Portuguese B/capacitance LUT selected.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Scenario band available only for E-REDES 36/60 kV cables.,,SCENARIO_ASSUMED,SRC_EREDES_DMAC33281,medium,S1_cable_transformer_source_backed,Derived only inside scenario from selected cable current band.,False,False,"Cable current/thermal bands exist from E-REDES 36/60 kV scenarios, but branch cable section and installation condition are unknown. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values."
ATPL_00028,0811S5060400_60,0806P5061500_60,0811S5060400,0806P5061500,60.0,10.644055,overhead,em exploração,10,0.8803,PG_0806P5061500_0811S5060400_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00029,1419P5023100_60,1402S5568200_60,1419P5023100,1402S5568200,60.0,12.20788,overhead,em exploração,7,0.94,PG_1402S5568200_1419P5023100_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00030,0808S5903600_60,0808S5063300_60,0808S5903600,0808S5063300,60.0,7.41676,overhead,em exploração,2,0.8805,PG_0808S5063300_0808S5903600_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00031,1111S5200000_60,1111S5066400_60,1111S5200000,1111S5066400,60.0,3.005591,overhead,em exploração,2,0.9529,PG_1111S5066400_1111S5200000_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00032,1009S5023300_60,1009S5002600_60,1009S5023300,1009S5002600,60.0,12.205048,mixed,em exploração,5,0.9468,PG_1009S5002600_1009S5023300_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00033,1009S5023300_60,1009S5002100_60,1009S5023300,1009S5002100,60.0,6.004613,mixed,em exploração,7,0.9392,PG_1009S5002100_1009S5023300_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00034,0605S5005800_60,0605S5005600_60,0605S5005800,0605S5005600,60.0,5.397087,mixed,em exploração,9,0.9356,PG_0605S5005600_0605S5005800_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00035,1003S5003200_60,1002S5023000_60,1003S5003200,1002S5023000,60.0,7.779899,overhead,em exploração,4,0.885,PG_1002S5023000_1003S5003200_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
ATPL_00036,0811S5063200_60,0811S5060400_60,0811S5063200,0811S5060400,60.0,6.677376,mixed,em exploração,6,0.6771,PG_0811S5060400_0811S5063200_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00037,1706P5024300_60,1703S5004900_60,1706P5024300,1703S5004900,60.0,15.346682,mixed,em exploração,6,0.9386,PG_1703S5004900_1706P5024300_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00038,1001S5905000_60,1016P5500000_60,1001S5905000,1016P5500000,60.0,13.918812,mixed,em exploração,8,0.9492,PG_1001S5905000_1016P5500000_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00039,1001S5905000_60,1001S5000400_60,1001S5905000,1001S5000400,60.0,20.221497,mixed,em exploração,8,0.9343,PG_1001S5000400_1001S5905000_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,Mixed overhead/cable branch is not split by segment-level electrical length; keep non-solver-ready.
ATPL_00040,0205S5050100_60,0208S5052500_60,0205S5050100,0208S5052500,60.0,21.384731,overhead,em exploração,11,0.8205,PG_0205S5050100_0208S5052500_60kv_em_explora_o,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese R LUT selected.,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese X LUT selected.,,,MISSING,,missing,S0_missing_only,Missing: no final Portuguese B/capacitance LUT selected.,,MISSING,,missing,S0_missing_only,Missing.,,MISSING,,missing,S0_missing_only,Missing.,False,False,No complete Portuguese 60 kV overhead current/thermal LUT is defensibly sourced. R/X/B are intentionally missing unless a future scenario explicitly selects source-backed or benchmark-only values.
