dataset_version,relative_path,file_group,file_format,field_count,bytes,schema_generated,principal_core_schema,source_or_derivation
v1.0.0,optional_interfaces/stage3/pt_stage3_graph.graphml,optional_interface,graphml,74,134457,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_graph_edges.csv,optional_interface,csv,45,23107,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_graph_nodes.csv,optional_interface,csv,31,14835,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_line_risk_samples.csv,optional_interface,csv,25,45410,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_manifest.json,optional_interface,json,27,2125,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_pipeline_status.json,optional_interface,json,6,299,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage3/pt_stage3_validation_summary.json,optional_interface,json,33,1286,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_bus_node_features.csv,optional_interface,csv,36,17857,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_entity_registry.csv,optional_interface,csv,10,16718,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_generator_bus_link_features.csv,optional_interface,csv,19,10557,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_generator_node_features.csv,optional_interface,csv,35,13632,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_generator_risk_benchmark_samples.csv,optional_interface,csv,34,80488,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_generator_sample_splits.csv,optional_interface,csv,11,186152,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_label_support_audit.csv,optional_interface,csv,21,5841,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_line_edge_features.csv,optional_interface,csv,49,24898,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_line_risk_benchmark_samples.csv,optional_interface,csv,39,80340,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_line_sample_splits.csv,optional_interface,csv,11,117392,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_manifest.json,optional_interface,json,48,4215,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_pipeline_status.json,optional_interface,json,6,314,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_qa_smoke_summary.json,optional_interface,json,32,1626,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_sample_registry.csv,optional_interface,csv,11,74496,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_split_registry.csv,optional_interface,csv,11,2761,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_task_registry.csv,optional_interface,csv,18,2971,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage4/pt_stage4_validation_summary.json,optional_interface,json,32,1381,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_adapter_registry.csv,optional_interface,csv,9,1745,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_feature_contract.csv,optional_interface,csv,10,32437,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_generator_link_adapter.csv,optional_interface,csv,21,11508,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_generator_node_adapter.csv,optional_interface,csv,37,14511,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_generator_supervision_adapter.csv,optional_interface,csv,60,406136,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_graph_edge_adapter.csv,optional_interface,csv,51,26263,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_graph_node_adapter.csv,optional_interface,csv,38,19834,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_line_supervision_adapter.csv,optional_interface,csv,65,409504,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_manifest.json,optional_interface,json,34,3809,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_pipeline_status.json,optional_interface,json,6,308,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_qa_smoke_summary.json,optional_interface,json,31,1460,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_train_only_preprocessing_contract.json,optional_interface,json,25,3801,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,optional_interfaces/stage5/pt_stage5_validation_summary.json,optional_interface,json,37,1588,True,False,Derivative consumer interface generated from core PT60 artifacts; optional and not part of operational claims.
v1.0.0,provenance/api_validation.json,provenance,json,66,85420,True,False,Generated release/source provenance metadata.
v1.0.0,provenance/license_approvals.csv,provenance,csv,6,608,True,False,Generated release/source provenance metadata.
v1.0.0,provenance/release_metadata.json,provenance,json,213,20085,True,False,Generated release/source provenance metadata.
v1.0.0,provenance/reproduction_source_manifest.csv,provenance,csv,28,11916,True,True,Generated release/source provenance metadata.
v1.0.0,provenance/reproduction_source_manifest.json,provenance,json,46,23884,True,False,Generated release/source provenance metadata.
v1.0.0,provenance/responsible_release_boundary.json,provenance,json,33,10610,True,False,Generated release/source provenance metadata.
v1.0.0,validation/internal_validation_checks.csv,technical_validation,csv,6,4253,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/internal_validation_missingness.csv,technical_validation,csv,6,31691,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/internal_validation_summary.json,technical_validation,json,48,3038,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/matcher_negative_control_geometry.csv,technical_validation,csv,34,1985280,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/matcher_negative_control_geometry_summary.json,technical_validation,json,51,2635,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/matcher_negative_control_names.csv,technical_validation,csv,37,168568,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/matcher_negative_control_names_summary.json,technical_validation,json,36,1974,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_matched_way_histories.json,technical_validation,json,4336,1005770,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_60kv_evidence.csv,technical_validation,csv,18,675090,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_60kv_power_ways.json,technical_validation,json,35,7024469,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_60kv_power_ways_meta.json,technical_validation,json,35,3960646,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_independence_audit.csv,technical_validation,csv,20,563521,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_independence_audit_summary.json,technical_validation,json,29,1906,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_osm_openinframap_matched_way_history_audit.csv,technical_validation,csv,15,213948,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_topology_cross_validation_osm_matches.csv,technical_validation,csv,29,133823,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_topology_cross_validation_osm_matches_independence_audit.csv,technical_validation,csv,58,284642,True,True,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_topology_cross_validation_source_audit.csv,technical_validation,csv,7,1555,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,validation/pt_topology_cross_validation_summary.json,technical_validation,json,18,1073,True,False,Derived validation output using frozen PT60 artifacts and public OSM/OpenInfraMap evidence where applicable.
v1.0.0,schema/data_dictionary.csv,schema,csv,21,0,True,False,Generated schema package documentation.
v1.0.0,schema/file_schema_summary.csv,schema,csv,9,0,True,False,Generated schema package documentation.
v1.0.0,schema/join_relationships.csv,schema,csv,7,0,True,False,Generated schema package documentation.
