code,bus_id,capacity_mva,fold,bus_index,lon,lat
0603S5006100,BUS:EREDES:0603S5006100:60,40.0,3,2842,-8.50829225612141,40.197154410492
0603S5006400,BUS:EREDES:0603S5006400:60,31.5,4,281,-8.39629141547915,40.2281040032568
0603S5022800,BUS:EREDES:0603S5022800:60,31.5,0,67,-8.46401484344241,40.1797699302467
0604S5005400,BUS:EREDES:0604S5005400:60,40.0,4,2033,-8.48879773245323,40.1049177787488
0605S5005600,BUS:EREDES:0605S5005600:60,40.0,4,150,-8.84120491345567,40.1605833220172
0605S5005800,BUS:EREDES:0605S5005800:60,40.0,4,2718,-8.84770941860087,40.1180180418741
0607S5003400,BUS:EREDES:0607S5003400:60,40.0,0,1565,-8.24568592660392,40.1201515894044
0608S5006500,BUS:EREDES:0608S5006500:60,21.0,2,2166,-8.72258216761928,40.4275322143576
0609S5004700,BUS:EREDES:0609S5004700:60,31.5,4,2369,-8.31774311482509,40.0953021637976
0611S5000300,BUS:EREDES:0611S5000300:60,10.0,3,1032,-7.86236107473726,40.3682071300528
0612S5003700,BUS:EREDES:0612S5003700:60,12.5,2,977,-7.81866963098831,40.079692690655
0613S5003800,BUS:EREDES:0613S5003800:60,20.0,0,2921,-8.19708840151497,40.3364688332381
0615S5006300,BUS:EREDES:0615S5006300:60,20.0,1,2727,-8.6387034538877,40.1559657797208
0615S5010500,BUS:EREDES:0615S5010500:60,20.0,2,3091,-8.63252320413105,40.0438220458298
0616S5003500,BUS:EREDES:0616S5003500:60,51.5,2,1348,-7.94789334187807,40.329605384036
0701S5042100,BUS:EREDES:0701S5042100:60,20.0,0,3102,-7.40445524934885,38.6294910943099
0702S5040700,BUS:EREDES:0702S5040700:60,20.0,2,417,-7.95003702249888,38.741573531386
0703S5040900,BUS:EREDES:0703S5040900:60,20.0,1,653,-7.46669169837766,38.7925168185332
0704S5041600,BUS:EREDES:0704S5041600:60,51.5,2,2876,-7.59424104788954,38.8507017914552
0705S5042000,BUS:EREDES:0705S5042000:60,63.0,4,2895,-7.90598573606607,38.5762795445438
0705S5042200,BUS:EREDES:0705S5042200:60,63.0,2,262,-7.88229623639541,38.5550850952521
0706S5041300,BUS:EREDES:0706S5041300:60,40.0,4,1812,-8.20047752401494,38.6450090764669
0711S5042400,BUS:EREDES:0711S5042400:60,31.5,3,3136,-7.53062520171291,38.4455098373635
0712S5042500,BUS:EREDES:0712S5042500:60,40.0,2,2062,-8.44766656854912,38.6723031595959
0713S5900400,BUS:EREDES:0713S5900400:60,20.0,4,198,-7.97698525610707,38.3300482672205
0714S5042700,BUS:EREDES:0714S5042700:60,40.0,4,1913,-7.42599714895115,38.7720136194143
0801S5063000,BUS:EREDES:0801S5063000:60,63.0,4,31,-8.24974575735014,37.0958818398098
0801S5900800,BUS:EREDES:0801S5900800:60,63.0,3,2214,-8.22268082021932,37.1113466403544
0803S5062700,BUS:EREDES:0803S5062700:60,10.0,2,3200,-8.7931447631277,37.3274334693086
0803S5904000,BUS:EREDES:0803S5904000:60,10.0,0,1609,-8.77901244728105,37.212234882542
0804S5060600,BUS:EREDES:0804S5060600:60,40.0,2,1529,-7.47281821458305,37.1844431989181
0804S5062300,BUS:EREDES:0804S5062300:60,20.0,0,1715,-7.47888826129034,37.2604627073843
0805S5060100,BUS:EREDES:0805S5060100:60,40.0,2,57,-7.94586956747978,37.0600097383888
0805S5062500,BUS:EREDES:0805S5062500:60,40.0,0,607,-7.90421596380011,37.038265998869
0805S5063500,BUS:EREDES:0805S5063500:60,63.0,3,3167,-7.94115490020157,37.0278072762541
0806S5060700,BUS:EREDES:0806S5060700:60,40.0,4,2890,-8.46782768859256,37.1189572567284
0807S5063100,BUS:EREDES:0807S5063100:60,63.0,4,1398,-8.69537961713379,37.1045229233398
0808S5060200,BUS:EREDES:0808S5060200:60,40.0,0,519,-8.00580866273788,37.1366749617201
0808S5063300,BUS:EREDES:0808S5063300:60,63.0,4,1878,-8.07660062289182,37.0835052788915
0808S5063400,BUS:EREDES:0808S5063400:60,63.0,2,115,-8.14067813987665,37.1159490104956
0808S5903600,BUS:EREDES:0808S5903600:60,31.5,0,114,-7.99178435269155,37.0722491432604
0808S5904800,BUS:EREDES:0808S5904800:60,31.5,0,113,-8.10168136858979,37.0874291393989
0809S5060500,BUS:EREDES:0809S5060500:60,10.0,4,2872,-8.5693677629858,37.2969484848498
0810S5063600,BUS:EREDES:0810S5063600:60,40.0,1,650,-7.82730246825139,37.0495570232155
0811S5060400,BUS:EREDES:0811S5060400:60,52.5,1,159,-8.53221157894838,37.1772224457455
0811S5063200,BUS:EREDES:0811S5063200:60,63.0,2,1393,-8.5591266423204,37.1247733089331
0812S5062100,BUS:EREDES:0812S5062100:60,20.0,1,2027,-7.8927256705816,37.1493771641207
0813S5061900,BUS:EREDES:0813S5061900:60,20.0,1,2891,-8.25932784941583,37.2562571692378
0813S5062000,BUS:EREDES:0813S5062000:60,20.0,4,1891,-8.42400004930543,37.1776305926088
0813S5062400,BUS:EREDES:0813S5062400:60,31.5,2,561,-8.26265211307154,37.1644338506322
0813S5062800,BUS:EREDES:0813S5062800:60,63.0,0,1390,-8.36963522848442,37.1195496155097
0814S5060300,BUS:EREDES:0814S5060300:60,20.0,1,110,-7.81978611458765,37.3567001843327
0814S5062600,BUS:EREDES:0814S5062600:60,40.0,1,655,-7.67001960292178,37.1272916474179
0814S5413300,BUS:EREDES:0814S5413300:60,20.0,3,171,-7.57249692859118,37.1859823177839
0815S5061600,BUS:EREDES:0815S5061600:60,20.0,3,849,-8.90997690391322,37.0793171812525
0903S5008700,BUS:EREDES:0903S5008700:60,20.0,2,331,-7.38887422603366,40.6431026741739
0906S5008600,BUS:EREDES:0906S5008600:60,35.0,2,984,-7.60191469453539,40.4962776822769
0907S5007100,BUS:EREDES:0907S5007100:60,41.5,2,96,-7.28757151518777,40.5385384299677
0907S5024600,BUS:EREDES:0907S5024600:60,31.5,2,97,-7.21050387588245,40.5313144839516
0909S5007600,BUS:EREDES:0909S5007600:60,10.0,2,2948,-7.18287132966389,41.0189088792756
0910S5007200,BUS:EREDES:0910S5007200:60,20.0,2,1063,-7.05819006931487,40.7740380777645
0911S5007300,BUS:EREDES:0911S5007300:60,10.0,0,2961,-7.04581549070247,40.5164712180614
0911S5007700,BUS:EREDES:0911S5007700:60,15.0,4,2144,-7.09487389328373,40.3396848511474
0912S5008200,BUS:EREDES:0912S5008200:60,5.0,0,2958,-7.68855019031979,40.3273482051255
0912S5008300,BUS:EREDES:0912S5008300:60,40.0,3,711,-7.71221414748508,40.4228817811309
0912S5009000,BUS:EREDES:0912S5009000:60,10.0,1,1059,-7.66234690427741,40.3968948769083
0913S5007500,BUS:EREDES:0913S5007500:60,10.0,4,1060,-7.35180674860509,40.7812121003611
1001S5000400,BUS:EREDES:1001S5000400:60,63.0,3,518,-8.96552024272801,39.4571392829564
1001S5001300,BUS:EREDES:1001S5001300:60,31.5,1,1015,-9.05143473298618,39.5270530768576
1001S5004200,BUS:EREDES:1001S5004200:60,40.0,4,666,-8.99498250683085,39.6132475776226
1001S5905000,BUS:EREDES:1001S5905000:60,31.5,4,166,-8.96741327600479,39.5537364485248
1002S5023000,BUS:EREDES:1002S5023000:60,31.5,3,215,-8.38429925349996,39.8430336619815
1003S5003200,BUS:EREDES:1003S5003200:60,40.0,2,152,-8.38333477055899,39.9124146493352
1006S5003000,BUS:EREDES:1006S5003000:60,40.0,3,997,-9.13168383147573,39.3972188117147
1006S5005000,BUS:EREDES:1006S5005000:60,31.5,1,2413,-9.1579814573201,39.4173613890955
1009S5002100,BUS:EREDES:1009S5002100:60,51.5,0,131,-8.81968348257506,39.7020765770667
1009S5002200,BUS:EREDES:1009S5002200:60,100.0,3,765,-8.79166070453163,39.7483818641892
1009S5002600,BUS:EREDES:1009S5002600:60,40.0,0,288,-8.83557671218514,39.8322997774389
1009S5002700,BUS:EREDES:1009S5002700:60,20.0,1,290,-8.78963271855867,39.7713198428015
1009S5023300,BUS:EREDES:1009S5023300:60,31.5,1,133,-8.82802680080663,39.7380331146705
1010S5000000,BUS:EREDES:1010S5000000:60,63.0,0,1024,-8.91890006028061,39.747685032879
1010S5011000,BUS:EREDES:1010S5011000:60,51.5,0,2259,-8.92725704733284,39.7215311160872
1012S5000500,BUS:EREDES:1012S5000500:60,40.0,4,85,-9.08214846324543,39.3555031658027
1013S5011300,BUS:EREDES:1013S5011300:60,20.0,1,2440,-8.22209078520433,39.9117592178238
1014S5001200,BUS:EREDES:1014S5001200:60,71.5,3,80,-9.31879214309638,39.3273657925581
1015S5002300,BUS:EREDES:1015S5002300:60,51.5,2,993,-8.63490958045611,39.9189343959032
1015S5004400,BUS:EREDES:1015S5004400:60,31.5,4,2950,-8.6958845086966,39.8732471531011
1015S5904900,BUS:EREDES:1015S5904900:60,20.0,4,29,-8.7894300087948,40.0274769072192
1016S5000100,BUS:EREDES:1016S5000100:60,80.0,2,1019,-8.85154248808981,39.6306972539376
1101S5335200,BUS:EREDES:1101S5335200:60,61.5,0,373,-8.95910206687394,39.0138788453139
1101S5423500,BUS:EREDES:1101S5423500:60,20.0,1,13,-9.11556162327268,39.0854341268528
1101S5901600,BUS:EREDES:1101S5901600:60,20.0,2,1602,-8.99460562801865,39.0643261046474
1103S5191400,BUS:EREDES:1103S5191400:60,40.0,4,437,-8.90704442701386,39.0524270087923
1104S5672000,BUS:EREDES:1104S5672000:60,40.0,2,671,-9.05023024072345,39.281090060961
1105S5250000,BUS:EREDES:1105S5250000:60,63.0,3,1440,-9.4429923291409,38.7230901514163
1105S5376000,BUS:EREDES:1105S5376000:60,40.0,4,1706,-9.39581361223918,38.7046857521998
1105S5396000,BUS:EREDES:1105S5396000:60,40.0,1,912,-9.39539996453389,38.7359157581001
1105S5413000,BUS:EREDES:1105S5413000:60,40.0,2,2904,-9.34652026685469,38.6872269352874
1105S5901100,BUS:EREDES:1105S5901100:60,40.0,2,2000,-9.32468695458837,38.7320465820768
1105S5903300,BUS:EREDES:1105S5903300:60,40.0,1,1765,-9.41159109304684,38.7132927956168
1106S5025800,BUS:EREDES:1106S5025800:60,80.0,3,1641,-9.1946937866289,38.6959355260337
1106S5045000,BUS:EREDES:1106S5045000:60,40.0,1,874,-9.16181312089379,38.7122270096857
1106S5064000,BUS:EREDES:1106S5064000:60,80.0,4,248,-9.14635167449829,38.723760377874
1106S5072500,BUS:EREDES:1106S5072500:60,40.0,3,2829,-9.16931418314624,38.7853193952848
1106S5099600,BUS:EREDES:1106S5099600:60,80.0,2,869,-9.15739850854142,38.7475541384006
1106S5140000,BUS:EREDES:1106S5140000:60,40.0,1,2199,-9.12799272528189,38.7275352193309
1106S5183100,BUS:EREDES:1106S5183100:60,80.0,3,46,-9.21261322266986,38.7208265716968
1106S5200200,BUS:EREDES:1106S5200200:60,40.0,4,2201,-9.1377033896324,38.7135885141059
1106S5200300,BUS:EREDES:1106S5200300:60,40.0,1,1461,-9.13614092174014,38.7369142277977
1106S5242000,BUS:EREDES:1106S5242000:60,80.0,0,1452,-9.16396442716846,38.7677659648803
1106S5244000,BUS:EREDES:1106S5244000:60,80.0,1,2194,-9.15163436792619,38.7299385595374
1106S5275000,BUS:EREDES:1106S5275000:60,80.0,4,706,-9.1258169458245,38.7749889477088
1106S5375000,BUS:EREDES:1106S5375000:60,80.0,0,1642,-9.18862980701124,38.7496391479842
1106S5431000,BUS:EREDES:1106S5431000:60,80.0,3,1460,-9.14614429751852,38.7451994394304
1106S5478000,BUS:EREDES:1106S5478000:60,40.0,2,1299,-9.15785956311857,38.7219701286851
1106S5716600,BUS:EREDES:1106S5716600:60,60.0,1,2896,-9.16654893033864,38.7225767614757
1106S5728000,BUS:EREDES:1106S5728000:60,40.0,0,1769,-9.18631762165254,38.7555470676655
1106S5800000,BUS:EREDES:1106S5800000:60,60.0,1,499,-9.09992068636528,38.7571332216051
1106S5800800,BUS:EREDES:1106S5800800:60,40.0,1,873,-9.09895141997504,38.7856440141005
1106S5815000,BUS:EREDES:1106S5815000:60,40.0,1,2367,-9.15351290389785,38.7782321851854
1106S5900100,BUS:EREDES:1106S5900100:60,40.0,2,1954,-9.13002633107935,38.7497497781229
1106S5902900,BUS:EREDES:1106S5902900:60,80.0,2,43,-9.10334829826404,38.7440561181026
1106S5907000,BUS:EREDES:1106S5907000:60,60.0,2,256,-9.14816366051656,38.7085816289309
1107S5097500,BUS:EREDES:1107S5097500:60,51.5,4,905,-9.10482408960698,38.784127838019
1107S5167800,BUS:EREDES:1107S5167800:60,51.5,2,1305,-9.08635798887418,38.8380869645039
1107S5221400,BUS:EREDES:1107S5221400:60,63.0,4,489,-9.17053289395442,38.8354662116201
1107S5518000,BUS:EREDES:1107S5518000:60,40.0,4,729,-9.16948856414785,38.8160062429513
1107S5819500,BUS:EREDES:1107S5819500:60,40.0,2,1304,-9.10198323397486,38.8680468500564
1107S5903700,BUS:EREDES:1107S5903700:60,20.0,4,1650,-9.12604718555837,38.8076877128498
1108S5729600,BUS:EREDES:1108S5729600:60,51.5,0,211,-9.30652125078136,39.2457474285887
1109S5430000,BUS:EREDES:1109S5430000:60,40.0,4,2358,-9.29747757718589,38.9052957353604
1109S5727400,BUS:EREDES:1109S5727400:60,40.0,0,2359,-9.34682985898176,38.980831247343
1109S5902500,BUS:EREDES:1109S5902500:60,40.0,1,615,-9.21776982270913,38.924038402017
1109S5905600,BUS:EREDES:1109S5905600:60,20.0,2,317,-9.26357491471727,38.9765202286696
1110S5117100,BUS:EREDES:1110S5117100:60,80.0,1,2903,-9.30622232991683,38.6959924690907
1110S5270000,BUS:EREDES:1110S5270000:60,80.0,0,2901,-9.23128895710694,38.7108680061072
1110S5810700,BUS:EREDES:1110S5810700:60,40.0,4,2394,-9.29422217174542,38.7320114203329
1110S5900200,BUS:EREDES:1110S5900200:60,40.0,0,189,-9.26669622815294,38.737082806951
1111S5066400,BUS:EREDES:1111S5066400:60,40.0,0,926,-9.32625843841308,38.8508914400789
1111S5127800,BUS:EREDES:1111S5127800:60,40.0,1,925,-9.36324270861278,38.7604004590443
1111S5200000,BUS:EREDES:1111S5200000:60,20.0,1,116,-9.30008023159825,38.834110538687
1111S5221600,BUS:EREDES:1111S5221600:60,80.0,1,2907,-9.28871750859266,38.7574807260228
1111S5377000,BUS:EREDES:1111S5377000:60,40.0,2,1851,-9.25632226191825,38.7557008178834
1111S5395000,BUS:EREDES:1111S5395000:60,80.0,4,2202,-9.33633618183811,38.8036537652089
1111S5749400,BUS:EREDES:1111S5749400:60,40.0,4,531,-9.40591268480081,38.8259035746782
1111S5850000,BUS:EREDES:1111S5850000:60,40.0,3,1294,-9.32378266541571,38.7785956289096
1111S5900300,BUS:EREDES:1111S5900300:60,20.0,0,1291,-9.36082840635402,38.7841653658077
1111S5903100,BUS:EREDES:1111S5903100:60,40.0,2,900,-9.30298072974004,38.7510208313432
1111S5905700,BUS:EREDES:1111S5905700:60,20.0,0,344,-9.37319190353444,38.8626273459496
1112S5901400,BUS:EREDES:1112S5901400:60,80.0,2,2126,-9.16667085768563,39.0110842558322
1113S5480800,BUS:EREDES:1113S5480800:60,63.0,4,617,-9.21140250387858,39.1018754423459
1113S5527000,BUS:EREDES:1113S5527000:60,20.0,1,1316,-9.34368339664191,39.0945815661526
1113S5900500,BUS:EREDES:1113S5900500:60,40.0,0,1317,-9.26624557139885,39.0745742098773
1113S5901500,BUS:EREDES:1113S5901500:60,20.0,1,1438,-9.34538090251774,39.1562721393967
1114S5140100,BUS:EREDES:1114S5140100:60,63.0,0,919,-9.01462395601946,38.9218955885683
1114S5192200,BUS:EREDES:1114S5192200:60,114.5,4,22,-9.07432559463732,38.8591289576821
1114S5340500,BUS:EREDES:1114S5340500:60,51.5,3,18,-8.97582615568302,38.9756466880235
1115S5191000,BUS:EREDES:1115S5191000:60,40.0,3,2299,-9.21507070373578,38.7527028239781
1115S5440000,BUS:EREDES:1115S5440000:60,40.0,4,3152,-9.23533506062851,38.745068326833
1115S5480500,BUS:EREDES:1115S5480500:60,40.0,2,897,-9.23235979612952,38.7524282216842
1115S5528500,BUS:EREDES:1115S5528500:60,80.0,2,1322,-9.22542383473999,38.7687333692467
1116S5340000,BUS:EREDES:1116S5340000:60,63.0,2,915,-9.19080965783365,38.7956554364485
1116S5903800,BUS:EREDES:1116S5903800:60,20.0,0,2292,-9.21407372833929,38.8050685410114
1201S5904100,BUS:EREDES:1201S5904100:60,10.0,2,3233,-7.6637467436579,39.1892699403809
1202S5901700,BUS:EREDES:1202S5901700:60,20.0,2,651,-7.28885852195264,39.1151766663362
1203S5650400,BUS:EREDES:1203S5650400:60,20.0,4,411,-7.97699504060313,39.0154827030867
1207S5767100,BUS:EREDES:1207S5767100:60,63.0,4,1796,-7.16938433645039,38.887179926942
1212S5666200,BUS:EREDES:1212S5666200:60,20.0,3,438,-7.61951905818462,39.4248577736793
1213S5566900,BUS:EREDES:1213S5566900:60,40.0,3,1599,-8.00056386836767,39.2345522486781
1214S5681500,BUS:EREDES:1214S5681500:60,40.0,1,642,-7.44621770504133,39.319170621183
1301S5008700,BUS:EREDES:1301S5008700:60,40.0,3,1134,-8.09756799510162,41.2934088388982
1301S5020200,BUS:EREDES:1301S5020200:60,20.0,2,353,-7.96898998176557,41.2072486501849
1303S5009100,BUS:EREDES:1303S5009100:60,63.0,1,2146,-8.19070061155552,41.3458050749596
1303S5021400,BUS:EREDES:1303S5021400:60,31.5,2,2695,-8.2509864716005,41.3542105563438
1304S5009400,BUS:EREDES:1304S5009400:60,40.0,1,1156,-8.50965709646801,41.1044207807402
1304S5010200,BUS:EREDES:1304S5010200:60,63.0,3,1157,-8.52257679327536,41.1747723457058
1304S5015400,BUS:EREDES:1304S5015400:60,63.0,1,1249,-8.54877701107898,41.1476524107224
1305S5014600,BUS:EREDES:1305S5014600:60,31.5,3,1144,-8.29644065495747,41.2643829038044
1306S5008900,BUS:EREDES:1306S5008900:60,94.5,2,1153,-8.61553338912147,41.2401945669812
1306S5010100,BUS:EREDES:1306S5010100:60,63.0,4,1245,-8.59941746203466,41.2071295549077
1307S5007700,BUS:EREDES:1307S5007700:60,40.0,0,2254,-8.13634191532224,41.1834557118083
1308S5000500,BUS:EREDES:1308S5000500:60,60.0,2,1188,-8.62060643483679,41.1858546039765
1308S5002600,BUS:EREDES:1308S5002600:60,63.0,1,2982,-8.67756344606841,41.187853441031
1308S5005900,BUS:EREDES:1308S5005900:60,80.0,0,582,-8.6775009751506,41.212045093956
1308S5007600,BUS:EREDES:1308S5007600:60,80.0,3,1549,-8.64643359695418,41.1984650857493
1308S5009500,BUS:EREDES:1308S5009500:60,31.5,0,1242,-8.6751190637817,41.1759873840744
1309S5000700,BUS:EREDES:1309S5000700:60,63.0,3,2974,-8.36281937740724,41.2837341078485
1310S5000800,BUS:EREDES:1310S5000800:60,63.0,4,1887,-8.41674336468303,41.2531826507663
1310S5009200,BUS:EREDES:1310S5009200:60,62.0,4,1992,-8.38120118771066,41.2154434553088
1311S5006900,BUS:EREDES:1311S5006900:60,63.0,1,1558,-8.29340111120722,41.1072832673245
